code,brand,name_hu,name_main,calorie,protein,fat,carb,image_url
20047238,Alesto,Mixed Nuts,Nussmix,647.0,20.3,58.0,15.0,https://images.openfoodfacts.org/images/products/000/002/004/7238/front_hu.535.400.jpg
20047559,"Pilos,Milbona",Görög joghurt,Yogurt Greek Style,122.0,4.6,10.0,3.2,https://images.openfoodfacts.org/images/products/000/002/004/7559/front_hu.142.400.jpg
20048686,Italiamo,,Formaggio grattugiato,442.0,39.2,30.5,2.2,https://images.openfoodfacts.org/images/products/000/002/004/8686/front_en.92.400.jpg
20058623,"Inter Biscuits, Sondey",,Бисквити асорти,479.0,7.2,22.0,61.2,https://images.openfoodfacts.org/images/products/000/002/005/8623/front_es.52.400.jpg
20063757,"Combino,Italiamo,Lidl",,spaghetti,350.0,12.5,1.2,70.5,https://images.openfoodfacts.org/images/products/000/002/006/3757/front_hr.67.400.jpg
20071080,Lidl,,Puff pastry twist,499.0,10.0,25.0,57.0,https://images.openfoodfacts.org/images/products/000/002/007/1080/front_fr.44.400.jpg
20071127,Maître Jean Pierre,,Brioche,354.0,7.8,12.3,52.0,https://images.openfoodfacts.org/images/products/000/002/007/1127/front_it.82.400.jpg
20088477,Dulano,Füstölt főt sertéssonka,Kochschinken,105.0,20.5,2.0,1.0,https://images.openfoodfacts.org/images/products/000/002/008/8477/front_de.3.400.jpg
20092016,"Gelatelli,Lidl,Vemondo",,Eis auf Kokosnussmilchbasis,343.0,3.5,24.5,25.2,https://images.openfoodfacts.org/images/products/000/002/009/2016/front_en.76.400.jpg
20092665,Milbona,Gouda,Gouda a fette,358.0,23.0,29.0,0.1,https://images.openfoodfacts.org/images/products/000/002/009/2665/front_en.71.400.jpg
20094508,Milbona,,Crefee mit feinen  Kräutern,245.0,6.0,23.0,3.0,https://images.openfoodfacts.org/images/products/000/002/009/4508/front_en.66.400.jpg
20098360,Castello,Backpulver,Backpulver,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/002/009/8360/front_hu.5.400.jpg
20107338,"Bon Gelati,Lidl",,Triple taste ice cream,172.0,1.6,7.0,22.5,https://images.openfoodfacts.org/images/products/000/002/010/7338/front_fi.95.400.jpg
20110482,Eridanous,Mandula szelet,Crunchy Almond Bar,567.0,17.9,38.1,33.9,https://images.openfoodfacts.org/images/products/000/002/011/0482/front_hu.24.400.jpg
20118761,Alesto,,Орехи макадамия,760.0,8.3,77.1,4.8,https://images.openfoodfacts.org/images/products/000/002/011/8761/front_en.104.400.jpg
20121556,el tequito,,Taco Dinner Kit,461.0,6.5,20.0,61.2,https://images.openfoodfacts.org/images/products/000/002/012/1556/front_en.25.400.jpg
20147471,"chef select,Lidl",Chicken Frikassée,Hühnerfrikassee,105.0,6.0,3.2,12.4,https://images.openfoodfacts.org/images/products/000/002/014/7471/front_hu.51.400.jpg
20155605,"ENVIA, Pilos","Expression, őszabarackos-maracujás",Mousse Fondante sur lit de fruits pêche et jus de fruit de la passion,115.0,4.2,4.2,15.0,https://images.openfoodfacts.org/images/products/000/002/015/5605/front_hu.31.400.jpg
20166083,Freshona,Csicseriborsó,Kichererbsen,125.0,6.7,2.7,15.8,https://images.openfoodfacts.org/images/products/000/002/016/6083/front_hu.121.400.jpg
20174552,ocean sea,Pink Salmon Fillets,filet de saumon rose du Pacifique,84.0,18.0,1.3,0.0,https://images.openfoodfacts.org/images/products/000/002/017/4552/front_hu.145.400.jpg
20183127,Tiadel,,Fodros nagykocka 4 tojásos száraztészta,0.0,0.0,0.0,0.0,
20186289,"Carl Durach, Freshona, Lidl",Csemegeuborka,Gewürzgurken,29.0,0.7,0.5,4.4,https://images.openfoodfacts.org/images/products/000/002/018/6289/front_hu.54.400.jpg
20192716,Mcennedy,Jelly Beans,Mcennedy Jelly Beans,359.0,0.0,0.1,89.5,https://images.openfoodfacts.org/images/products/000/002/019/2716/front_fr.16.400.jpg
20198107,"Baresa,Lidl",,Peeled Tomatoes in tomato juice,23.0,0.8,0.4,3.5,https://images.openfoodfacts.org/images/products/000/002/019/8107/front_en.226.400.jpg
20213114,Italiamo,,Канелони,350.0,12.5,1.2,70.5,https://images.openfoodfacts.org/images/products/000/002/021/3114/front_bg.54.400.jpg
20220211,Combino (Lidl),,snabb macaroni,350.0,12.5,1.2,70.5,https://images.openfoodfacts.org/images/products/000/002/022/0211/front_en.9.400.jpg
20225087,Hatherwood,Cheddar sajt,Mature Cheddar,416.0,25.4,34.9,0.1,https://images.openfoodfacts.org/images/products/000/002/022/5087/front_hu.15.400.jpg
20247942,La Reserva,,Barbabietole rosse precotte,32.0,1.2,0.0,5.8,https://images.openfoodfacts.org/images/products/000/002/024/7942/front_de.31.400.jpg
20249878,kania,Origano disraspato,Origano disraspato,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/002/024/9878/front_hu.11.400.jpg
